,max_depth,minInstancesPerNode,training_rmse,testing_rmse,Best Model
107,3.0,20.0,48.812000079007326,51.384616735857826,0.0
108,4.0,2.0,48.61247068644195,51.33748977223006,0.0
109,4.0,3.0,48.61247068644195,51.33748977223006,0.0
110,4.0,4.0,48.61247068644195,51.33748977223006,0.0
111,4.0,5.0,48.61247068644195,51.33748977223006,0.0
112,4.0,6.0,48.61247068644195,51.33748977223006,0.0
113,4.0,7.0,48.61247068644195,51.33748977223006,0.0
114,4.0,8.0,48.61247068644195,51.33748977223006,0.0
115,4.0,9.0,48.61247068644195,51.33748977223006,0.0
116,4.0,20.0,48.61274561390323,51.33537332698065,0.0
117,5.0,2.0,48.28892705504202,51.19760606616838,0.0
118,5.0,3.0,48.2953315349907,51.155598713838806,0.0
119,5.0,4.0,48.29700965241099,51.15574045923072,0.0
120,5.0,5.0,48.29938910473355,51.15034475291134,0.0
121,5.0,6.0,48.30146435319082,51.13323873150011,0.0
122,5.0,7.0,48.30365243879795,51.11827336921962,0.0
123,5.0,8.0,48.30710800936645,51.11296385414092,0.0
124,5.0,9.0,48.3077640986511,51.11297610212463,0.0
125,5.0,20.0,48.31078091226586,51.10282007079396,0.0
126,6.0,2.0,46.70821706240413,53.15862053646471,0.0
127,6.0,3.0,46.99341467507215,50.970375774707925,0.0
128,6.0,4.0,47.01216359945639,51.019435547569365,0.0
129,6.0,5.0,47.024039739623014,51.01614467771572,0.0
130,6.0,6.0,47.09222226819925,50.74489656480513,0.0
131,6.0,7.0,47.10585274249442,50.74414084037451,0.0
132,6.0,8.0,47.258098094598715,50.98772349209757,0.0
133,6.0,9.0,47.27847857363095,51.359928611519486,0.0
134,6.0,20.0,47.69945429500205,51.08496482428611,0.0
135,7.0,2.0,45.700511831695195,53.63233818175383,0.0
136,7.0,3.0,46.13190617130776,50.81338178426254,0.0
137,7.0,4.0,46.24787818188869,50.64754371764577,0.0
138,7.0,5.0,46.30287041663404,50.622935614083154,0.0
139,7.0,6.0,46.3854852715226,50.39790555974149,0.0
140,7.0,7.0,46.34460953623208,50.56080755777861,0.0
141,7.0,8.0,46.56333781046804,50.62440362973814,0.0
142,7.0,9.0,46.93450884862778,51.29004177425156,0.0
143,7.0,20.0,47.15159691289995,51.17589312534322,0.0
144,8.0,2.0,44.99824343004475,54.09927837333423,0.0
145,8.0,3.0,45.46300884177264,51.3540002873927,0.0
146,8.0,4.0,45.6991652832775,51.10512210568706,0.0
147,8.0,5.0,45.772381933164894,51.07599341922505,0.0
148,8.0,6.0,45.87696662078709,50.6322322516081,0.0
149,8.0,7.0,45.78932821108566,50.79226195739316,0.0
150,8.0,8.0,46.027480260505136,50.813751806310265,0.0
151,8.0,9.0,46.452023132281205,51.48477043120316,0.0
152,8.0,20.0,46.88221115215437,50.98120763813453,0.0
153,9.0,2.0,43.90146863982694,55.19995174178963,0.0
154,9.0,3.0,44.491927962559245,52.19332261859325,0.0
155,9.0,4.0,44.77883885243074,51.53807174136765,0.0
156,9.0,5.0,44.982413199112145,51.59959814176383,0.0
157,9.0,6.0,45.14796578905423,51.01308289599721,0.0
158,9.0,7.0,45.202465561622546,51.060497704201396,0.0
159,9.0,8.0,45.52032309898186,50.99887454800506,0.0
160,9.0,9.0,46.06989981130319,51.663043536630376,0.0
161,9.0,20.0,46.609705581534215,51.09471056944872,0.0
162,10.0,2.0,42.79670564428222,55.75337454362943,0.0
163,10.0,3.0,43.554550143399766,52.83674219426893,0.0
164,10.0,4.0,43.977610749303615,52.0901449539883,0.0
165,10.0,5.0,44.26938798053734,52.25748788854123,0.0
166,10.0,6.0,44.49358637650555,51.5581389970805,0.0
167,10.0,7.0,44.60179902563819,51.47088852733109,0.0
168,10.0,8.0,45.087222474616155,51.23375970442512,0.0
169,10.0,9.0,45.673925920075924,51.94232294012758,0.0
170,10.0,20.0,46.296152047363314,51.17368839289704,0.0
171,11.0,2.0,41.65819073480208,57.0861593163874,0.0
172,11.0,3.0,42.40803203690813,54.004012944672546,0.0
173,11.0,4.0,43.19601166115823,52.65776696488528,0.0
174,11.0,5.0,43.60235632731251,52.57390647842631,0.0
175,11.0,6.0,43.88505575105806,51.85066608179273,0.0
176,11.0,7.0,44.02359993972001,51.91470003294976,0.0
177,11.0,8.0,44.52253064960868,51.71159879825768,0.0
178,11.0,9.0,45.01775935937123,52.357673101652324,0.0
179,11.0,20.0,45.93080992925652,51.23393068608064,0.0
